city,Ncasos,Ncasos/1000H
AGUIAR,19,3.37
ALAGOA GRANDE,547,19.2
ALAGOA NOVA,204,9.79
ALAGOINHA,577,39.83
ALCANTIL,22,4.1
ALGODÃO DE JANDAÍRA,4,1.56
ALHANDRA,397,20.27
AMPARO,12,5.37
APARECIDA,37,4.44
ARARA,130,9.66
ARARUNA,149,7.34
ARAÇAGI,345,20.31
AREIA DE BARAÚNAS,2,0.94
AREIA,203,8.9
AREIAL,34,4.86
AROEIRAS,109,5.7
ASSUNÇÃO,27,6.77
BANANEIRAS,97,4.55
BARAÚNA,120,24.53
BARRA DE SANTA ROSA,30,1.95
BARRA DE SANTANA,70,8.38
BARRA DE SÃO MIGUEL,12,1.99
BAYEUX,1071,11.6
BAÍA DA TRAIÇÃO,301,33.47
BELÉM DO BREJO DO CRUZ,13,1.77
BELÉM,490,27.73
BERNARDINO BATISTA,3,0.86
BOA VENTURA,2,0.38
BOA VISTA,61,8.66
BOM JESUS,6,2.35
BOM SUCESSO,7,1.41
BONITO DE SANTA FÉ,6,0.51
BOQUEIRÃO,171,9.61
BORBOREMA,7,1.33
BREJO DO CRUZ,158,11.19
BREJO DOS SANTOS,14,2.17
CAAPORÃ,807,36.97
CABACEIRAS,19,3.39
CABEDELO,2015,29.75
CACHOEIRA DOS ÍNDIOS,48,4.69
CACIMBA DE AREIA,7,1.91
CACIMBA DE DENTRO,73,4.25
CACIMBAS,39,5.44
CAIÇARA,298,41.39
CAJAZEIRAS,794,12.81
CAJAZEIRINHAS,1,0.32
CALDAS BRANDÃO,111,18.46
CAMALAÚ,1,0.17
CAMPINA GRANDE,8136,19.86
CAPIM,127,19.47
CARAÚBAS,29,6.97
CARRAPATEIRA,27,10.16
CASSERENGUE,153,20.49
CATINGUEIRA,15,3.5
CATOLÉ DO ROCHA,183,5.99
CATURITÉ,63,12.99
CONCEIÇÃO,122,6.43
CONDADO,92,13.83
CONDE,500,20.27
CONGO,41,8.57
COREMAS,47,3.5
COXIXOLA,12,6.25
CRUZ DO ESPÍRITO SANTO,236,13.63
CUBATI,56,7.19
CUITEGI,189,27.79
CUITÉ DE MAMANGUAPE,72,11.34
CUITÉ,125,6.15
CURRAL VELHO,1,0.4
CURRAL DE CIMA,15,2.87
DAMIÃO,3,0.57
