city,Ncasos,Ncasos/1000H
AGUIAR,47,8.34
ALAGOA GRANDE,1694,59.45
ALAGOA NOVA,415,19.91
ALAGOINHA,1090,75.23
ALCANTIL,84,15.3
ALGODÃO DE JANDAÍRA,31,12.8
ALHANDRA,735,37.53
AMPARO,23,10.28
APARECIDA,427,51.16
ARARA,259,19.23
ARARUNA,335,16.5
ARAÇAGI,565,33.26
AREIA DE BARAÚNAS,13,6.11
AREIA,545,23.89
AREIAL,100,14.29
AROEIRAS,258,13.47
ASSUNÇÃO,47,11.78
BANANEIRAS,487,22.85
BARAÚNA,144,29.44
BARRA DE SANTA ROSA,179,11.64
BARRA DE SANTANA,133,15.91
BARRA DE SÃO MIGUEL,88,14.58
BAYEUX,2555,26.38
BAÍA DA TRAIÇÃO,842,93.63
BELÉM DO BREJO DO CRUZ,156,21.25
BELÉM,1136,64.27
BERNARDINO BATISTA,135,38.56
BOA VENTURA,138,25.72
BOA VISTA,151,21.42
BOM JESUS,62,24.21
BOM SUCESSO,41,8.25
BONITO DE SANTA FÉ,247,20.73
BOQUEIRÃO,767,43.8
BORBOREMA,92,17.48
BREJO DO CRUZ,680,48.16
BREJO DOS SANTOS,86,13.34
CAAPORÃ,1031,47.24
CABACEIRAS,140,24.95
CABEDELO,3660,54.4
CACHOEIRA DOS ÍNDIOS,284,27.73
CACIMBA DE AREIA,14,3.81
CACIMBA DE DENTRO,406,23.63
CACIMBAS,68,9.48
CAIÇARA,458,63.61
CAJAZEIRAS,3033,48.93
CAJAZEIRINHAS,39,12.22
CALDAS BRANDÃO,338,56.21
CAMALAÚ,35,5.82
CAMPINA GRANDE,14463,35.3
CAPIM,162,24.84
CARAÚBAS,72,17.3
CARRAPATEIRA,74,27.83
CASSERENGUE,428,57.32
CATINGUEIRA,20,4.6
CATOLÉ DO ROCHA,894,29.27
CATURITÉ,127,26.18
CONCEIÇÃO,786,41.41
CONDADO,195,29.31
CONDE,927,37.58
CONGO,101,21.11
COREMAS,370,23.96
COXIXOLA,61,31.76
CRUZ DO ESPÍRITO SANTO,651,37.59
CUBATI,99,12.7
CUITEGI,411,60.42
CUITÉ DE MAMANGUAPE,167,26.29
CUITÉ,377,18.54
CURRAL VELHO,44,17.49
CURRAL DE CIMA,117,22.39
DAMIÃO,52,9.76
DESTERRO,97,11.69
DIAMANTE,305,46.55
DONA INÊS,138,13.21
DUAS ESTRADAS,101,28.9
EMAS,67,19.3
ESPERANÇA,870,26.36
FAGUNDES,138,12.27
FREI MARTINHO,25,8.37
GADO BRAVO,113,13.59
GUARABIRA,4861,82.63
GURINHÉM,466,32.99
GURJÃO,62,18.9
IBIARA,198,33.4
IGARACY,27,4.42
IMACULADA,139,11.76
INGÁ,1680,92.81
ITABAIANA,1261,51.52
ITAPORANGA,1135,45.97
ITAPOROROCA,1011,54.17
ITATUBA,369,33.67
JACARAÚ,351,24.33
JERICÓ,128,16.54
JOCA CLAUDINO,24,9.11
JOÃO PESSOA,37103,45.87
JUAREZ TÁVORA,455,57.34
JUAZEIRINHO,292,16.7
JUNCO DO SERIDÓ,127,17.77
JURIPIRANGA,635,59.4
JURU,233,23.62
LAGOA SECA,759,27.6
LAGOA DE DENTRO,190,24.62
LAGOA,28,6.0
LASTRO,44,16.8
LIVRAMENTO,112,15.44
LOGRADOURO,188,43.4
LUCENA,554,42.36
MALTA,136,23.62
MAMANGUAPE,2819,62.81
MANAÍRA,43,3.93
MARCAÇÃO,534,62.4
MARI,1238,56.7
MARIZÓPOLIS,80,12.9
MASSARANDUBA,419,30.11
MATARACA,278,32.97
MATINHAS,87,19.34
MATO GROSSO,21,7.23
MATURÉIA,51,7.77
MOGEIRO,428,32.22
MONTADAS,69,12.18
MONTE HOREBE,90,18.69
MONTEIRO,1191,35.85
MULUNGU,462,46.66
MÃE D'ÁGUA,24,5.99
NATUBA,97,9.28
NAZAREZINHO,120,16.44
NOVA FLORESTA,139,13.7
NOVA OLINDA,41,6.9
NOVA PALMEIRA,102,20.79
OLHO D'ÁGUA,64,9.81
OLIVEDOS,146,37.14
OURO VELHO,27,8.89
PARARI,16,9.4
PASSAGEM,31,12.82
